Training Enformer model
Starting distributed training using '/home/lukezeng/chromatin-state-prediction/sample/binned_dataframe_enformer/train_shards'...
Computing class weights from dataset...
Computing class weights from dataset...
Computing class weights from dataset...
Computing class weights from dataset...
Computed class weights: tensor([4.9079e-01, 3.6471e+00, 2.4216e-01, 2.5659e-01, 1.5979e-02, 1.5975e-02,
        2.4998e-01, 1.4336e+00, 2.2534e-01, 1.0285e+01, 2.7438e-02, 6.4654e-02,
        3.0592e-02, 3.9714e-01, 5.6624e-01, 3.4207e-02, 1.5507e-02, 1.8380e-03],
Epoch 0 | Step 1130 | Loss: 0.9440
Epoch 0 | Step 1140 | Loss: 0.8236
Epoch 0 | Step 1150 | Loss: 0.8624
Epoch 0 | Step 1160 | Loss: 0.8998
Epoch 0 | Step 1170 | Loss: 0.7876
Epoch 0 | Step 1180 | Loss: 0.6353
Epoch 0 | Step 1190 | Loss: 0.8000
Epoch 0 | Step 1200 | Loss: 0.9605
Epoch 0 | Step 1210 | Loss: 0.7785
Epoch 0 | Step 1220 | Loss: 0.8388
Epoch 0 | Step 1230 | Loss: 1.0258
Epoch 0 | Step 1240 | Loss: 1.2729
Epoch 0 | Step 1250 | Loss: 0.8946
Epoch 0 | Step 1260 | Loss: 0.9089
Epoch 0 | Step 1270 | Loss: 0.7866
Epoch 0 | Step 1280 | Loss: 0.8133
Epoch 0 | Step 1290 | Loss: 0.7893
Epoch 0 | Step 1300 | Loss: 0.8669
Epoch 0 | Step 1310 | Loss: 1.0555
Epoch 0 | Step 1320 | Loss: 0.9402
Epoch 0 | Step 1330 | Loss: 0.8884
Epoch 0 | Step 1340 | Loss: 0.8937
Epoch 0 | Step 1350 | Loss: 0.9784
Epoch 0 | Step 1360 | Loss: 0.8433
Epoch 0 | Step 1370 | Loss: 0.8693
Epoch 0 | Step 1380 | Loss: 1.0648
Epoch 0 | Step 1390 | Loss: 1.0808
Epoch 0 | Step 1400 | Loss: 0.9026
Epoch 0 | Step 1410 | Loss: 1.0336
Epoch 0 | Step 1420 | Loss: 0.9471
Epoch 0 | Step 1430 | Loss: 0.9584
Epoch 0 | Step 1440 | Loss: 0.8607
Epoch 0 | Step 1450 | Loss: 0.9370
Epoch 0 | Step 1460 | Loss: 0.8178
Epoch 0 | Step 1470 | Loss: 0.7610
Epoch 0 | Step 1480 | Loss: 0.8476
Epoch 0 | Step 1490 | Loss: 0.9438
Epoch 0 | Step 1500 | Loss: 1.2129
Epoch 0 | Step 1510 | Loss: 1.0213
Epoch 0 | Step 1520 | Loss: 1.1788
Epoch 0 | Step 1530 | Loss: 0.9587
Epoch 0 | Step 1540 | Loss: 0.9880
Epoch 0 | Step 1550 | Loss: 0.9676
Epoch 0 | Step 1560 | Loss: 0.9751
Epoch 0 | Step 1570 | Loss: 0.8949
Epoch 0 | Step 1580 | Loss: 0.8434
Epoch 0 | Step 1590 | Loss: 0.9886
Epoch 0 | Step 1600 | Loss: 0.9130
Epoch 0 | Step 1610 | Loss: 0.9283
Epoch 0 | Step 1620 | Loss: 0.9067
Epoch 0 | Step 1630 | Loss: 1.1084
Epoch 0 | Step 1640 | Loss: 0.7347
Epoch 0 | Step 1650 | Loss: 0.9154
Epoch 0 | Step 1660 | Loss: 0.9203
Epoch 0 | Step 1670 | Loss: 0.8122
Epoch 0 | Step 1680 | Loss: 0.8472
Epoch 0 | Step 1690 | Loss: 0.8455
Epoch 0 | Step 1700 | Loss: 0.8745
Epoch 0 | Step 1710 | Loss: 0.8199
Epoch 0 | Step 1720 | Loss: 0.7575
Epoch 0 | Step 1730 | Loss: 0.7779
Epoch 0 | Step 1740 | Loss: 0.7676
Epoch 0 | Step 1750 | Loss: 1.3952
Epoch 0 | Step 1760 | Loss: 1.0762
Epoch 0 | Step 1770 | Loss: 1.3289
Epoch 0 | Step 1780 | Loss: 0.9412
Epoch 0 | Step 1790 | Loss: 0.8263
Epoch 0 | Step 1800 | Loss: 0.7810
Epoch 0 | Step 1810 | Loss: 0.8993
Epoch 0 | Step 1820 | Loss: 0.8137
Epoch 0 | Step 1830 | Loss: 0.8196
Epoch 0 | Step 1840 | Loss: 0.9065
Epoch 0 | Step 1850 | Loss: 0.8045
Epoch 0 | Step 1860 | Loss: 0.9479
Epoch 0 | Step 1870 | Loss: 0.8959
Epoch 0 | Step 1880 | Loss: 0.7186
Epoch 0 | Step 1890 | Loss: 0.8078
Epoch 0 | Step 1900 | Loss: 0.6966
Epoch 0 | Step 1910 | Loss: 0.8238
Epoch 0 | Step 1920 | Loss: 0.8448
Epoch 0 | Step 1930 | Loss: 0.7968
Epoch 0 | Step 1940 | Loss: 0.6920
Epoch 0 | Step 1950 | Loss: 0.8282
Epoch 0 | Step 1960 | Loss: 0.6733
Epoch 0 | Step 1970 | Loss: 0.8542
Epoch 0 | Step 1980 | Loss: 0.7636
Epoch 0 | Step 1990 | Loss: 0.9231
Epoch 0 | Step 2000 | Loss: 0.6542
Saving checkpoint to /home/lukezeng/chromatin-state-prediction/playground/checkpoints/enformer_step_2000.pt...
Epoch 0 | Step 2010 | Loss: 0.7282
Epoch 0 | Step 2020 | Loss: 0.7836
Epoch 0 | Step 2030 | Loss: 0.9382
Epoch 0 | Step 2040 | Loss: 0.7852
Epoch 0 | Step 2050 | Loss: 0.6845
Epoch 0 | Step 2060 | Loss: 0.6249
Epoch 0 | Step 2070 | Loss: 0.7055
Epoch 0 | Step 2080 | Loss: 0.7855
Epoch 0 | Step 2090 | Loss: 0.7538
Epoch 0 | Step 2100 | Loss: 0.7397
Epoch 0 | Step 2110 | Loss: 0.7961
Epoch 0 | Step 2120 | Loss: 1.0078
Epoch 0 | Step 2130 | Loss: 0.8748
Epoch 0 | Step 2140 | Loss: 0.9323
Epoch 0 | Step 2150 | Loss: 0.8901
Epoch 0 | Step 2160 | Loss: 1.0051
Epoch 0 | Step 2170 | Loss: 0.9557
Epoch 0 | Step 2180 | Loss: 0.8873
Epoch 0 | Step 2190 | Loss: 0.6420
Epoch 0 | Step 2200 | Loss: 0.7545
Epoch 0 | Step 2210 | Loss: 0.9041
Epoch 0 | Step 2220 | Loss: 1.1816
Epoch 0 | Step 2230 | Loss: 0.8914
Epoch 0 | Step 2240 | Loss: 0.8814
Epoch 0 | Step 2250 | Loss: 0.8432
Epoch 0 | Step 2260 | Loss: 0.9020
Epoch 0 | Step 2270 | Loss: 0.8214
Epoch 0 | Step 2280 | Loss: 0.8834
Epoch 0 | Step 2290 | Loss: 0.9532
Epoch 0 | Step 2300 | Loss: 0.8212
Epoch 0 | Step 2310 | Loss: 0.7796
Epoch 0 | Step 2320 | Loss: 0.9200
Epoch 0 | Step 2330 | Loss: 0.9011
Epoch 0 | Step 2340 | Loss: 0.9325
Epoch 0 | Step 2350 | Loss: 0.7053
Epoch 0 | Step 2360 | Loss: 0.6958
Epoch 0 | Step 2370 | Loss: 0.8062
Epoch 0 | Step 2380 | Loss: 0.7325
Epoch 0 | Step 2390 | Loss: 1.2599
Epoch 0 | Step 2400 | Loss: 0.7905
Epoch 0 | Step 2410 | Loss: 0.7099
Epoch 0 | Step 2420 | Loss: 0.9466
Epoch 0 | Step 2430 | Loss: 0.6577
Epoch 0 | Step 2440 | Loss: 0.6106
Epoch 0 | Step 2450 | Loss: 0.6545
Epoch 0 | Step 2460 | Loss: 0.8483
Epoch 0 | Step 2470 | Loss: 0.6475
Epoch 0 | Step 2480 | Loss: 0.8019
Epoch 0 | Step 2490 | Loss: 0.6007
Epoch 0 | Step 2500 | Loss: 0.7057
Epoch 0 | Step 2510 | Loss: 0.7113
Epoch 0 | Step 2520 | Loss: 0.6974
Epoch 0 | Step 2530 | Loss: 0.9103
Epoch 0 | Step 2540 | Loss: 0.5809
Epoch 0 | Step 2550 | Loss: 0.7568
Epoch 0 | Step 2560 | Loss: 0.7417
Epoch 0 | Step 2570 | Loss: 0.6643
Epoch 0 | Step 2580 | Loss: 0.7087
Epoch 0 | Step 2590 | Loss: 0.7225
Epoch 0 | Step 2600 | Loss: 0.7480
Epoch 0 | Step 2610 | Loss: 0.7803
Epoch 0 | Step 2620 | Loss: 0.7896
Epoch 0 | Step 2630 | Loss: 0.7709
Epoch 0 | Step 2640 | Loss: 0.8104
Epoch 0 | Step 2650 | Loss: 0.6751
Epoch 0 | Step 2660 | Loss: 0.7417
Epoch 0 | Step 2670 | Loss: 0.9222
Epoch 0 | Step 2680 | Loss: 0.7993
Epoch 0 | Step 2690 | Loss: 0.6801
Epoch 0 | Step 2700 | Loss: 0.7198
Epoch 0 | Step 2710 | Loss: 0.7785
Epoch 0 | Step 2720 | Loss: 0.7467
Epoch 0 | Step 2730 | Loss: 0.5780
Epoch 0 | Step 2740 | Loss: 0.7543
Epoch 0 | Step 2750 | Loss: 0.7257
Epoch 0 | Step 2760 | Loss: 0.7491
Epoch 0 | Step 2770 | Loss: 0.6072
Epoch 0 | Step 2780 | Loss: 0.7189
Epoch 0 | Step 2790 | Loss: 0.6470
Epoch 0 | Step 2800 | Loss: 0.7572
Epoch 0 | Step 2810 | Loss: 0.6419
Epoch 0 | Step 2820 | Loss: 0.7032
Epoch 0 | Step 2830 | Loss: 0.5423
Epoch 0 | Step 2840 | Loss: 0.6222
Epoch 0 | Step 2850 | Loss: 0.6450
Epoch 0 | Step 2860 | Loss: 0.8087
Epoch 0 | Step 2870 | Loss: 0.6552
Epoch 0 | Step 2880 | Loss: 0.7047
Epoch 0 | Step 2890 | Loss: 0.5785
Epoch 0 | Step 2900 | Loss: 0.6207
Epoch 0 | Step 2910 | Loss: 0.5813
Epoch 0 | Step 2920 | Loss: 0.5578
Epoch 0 | Step 2930 | Loss: 0.8014
Epoch 0 | Step 2940 | Loss: 0.5487
Epoch 0 | Step 2950 | Loss: 0.9109
Epoch 0 | Step 2960 | Loss: 0.7020
Epoch 0 | Step 2970 | Loss: 0.9974
Epoch 0 | Step 2980 | Loss: 0.8461
Epoch 0 | Step 2990 | Loss: 0.8707
Epoch 0 | Step 3000 | Loss: 0.7850
Saving checkpoint to /home/lukezeng/chromatin-state-prediction/playground/checkpoints/enformer_step_3000.pt...
Epoch 0 | Step 3010 | Loss: 0.7363
Epoch 0 | Step 3020 | Loss: 0.8949
Epoch 0 | Step 3030 | Loss: 0.6980
Epoch 0 | Step 3040 | Loss: 0.7446
Epoch 0 | Step 3050 | Loss: 0.6412
Epoch 0 | Step 3060 | Loss: 0.7919
Epoch 0 | Step 3070 | Loss: 0.7093
Epoch 0 | Step 3080 | Loss: 0.6546
Epoch 0 | Step 3090 | Loss: 0.6921
Epoch 0 | Step 3100 | Loss: 0.7035
Epoch 0 | Step 3110 | Loss: 0.7174
Epoch 0 | Step 3120 | Loss: 0.6863
Epoch 0 | Step 3130 | Loss: 0.6891
Epoch 0 | Step 3140 | Loss: 0.7507
Epoch 0 | Step 3150 | Loss: 0.6480
Epoch 0 | Step 3160 | Loss: 0.6163
Epoch 0 | Step 3170 | Loss: 0.8007
Epoch 0 | Step 3180 | Loss: 0.6113
Epoch 0 | Step 3190 | Loss: 0.7754
Epoch 0 | Step 3200 | Loss: 0.6295
Epoch 0 | Step 3210 | Loss: 0.7275
Epoch 0 | Step 3220 | Loss: 0.7958
Epoch 0 | Step 3230 | Loss: 0.6869
Epoch 0 | Step 3240 | Loss: 0.6374
Epoch 0 | Step 3250 | Loss: 0.7332
Epoch 0 | Step 3260 | Loss: 0.9116
Epoch 0 | Step 3270 | Loss: 0.6382
Epoch 0 | Step 3280 | Loss: 0.6115
Epoch 0 | Step 3290 | Loss: 0.7182
